sample_name,dataset,file,reference_genome
HG02090,1000G,,GRCh37
HG02095,1000G,,GRCh37
HG02102,1000G,,GRCh37
HG02104,1000G,,GRCh37
HG02105,1000G,,GRCh37
HG02107,1000G,,GRCh37
HG02108,1000G,,GRCh37
HG02111,1000G,,GRCh37
HG02113,1000G,,GRCh37
HG02116,1000G,,GRCh37
HG02121,1000G,,GRCh37
HG02122,1000G,,GRCh37
HG02127,1000G,,GRCh37
HG02128,1000G,,GRCh37
HG02130,1000G,,GRCh37
HG02131,1000G,,GRCh37
HG02133,1000G,,GRCh37
HG02134,1000G,,GRCh37
HG02136,1000G,,GRCh37
HG02137,1000G,,GRCh37
HG02138,1000G,,GRCh37
HG02139,1000G,,GRCh37
HG02140,1000G,,GRCh37
HG02141,1000G,,GRCh37
HG02142,1000G,,GRCh37
HG02143,1000G,,GRCh37
HG02144,1000G,,GRCh37
HG02146,1000G,,GRCh37
HG02147,1000G,,GRCh37
HG02150,1000G,,GRCh37
HG02151,1000G,,GRCh37
HG02152,1000G,,GRCh37
HG02153,1000G,,GRCh37
HG02154,1000G,,GRCh37
HG02155,1000G,,GRCh37
HG02156,1000G,,GRCh37
HG02164,1000G,,GRCh37
HG02165,1000G,,GRCh37
HG02166,1000G,,GRCh37
HG02178,1000G,,GRCh37
HG02179,1000G,,GRCh37
HG02180,1000G,,GRCh37
HG02181,1000G,,GRCh37
HG02182,1000G,,GRCh37
HG02184,1000G,,GRCh37
HG02185,1000G,,GRCh37
HG02186,1000G,,GRCh37
HG02187,1000G,,GRCh37
HG02188,1000G,,GRCh37
HG02190,1000G,,GRCh37
HG02215,1000G,,GRCh37
HG02219,1000G,,GRCh37
HG02220,1000G,,GRCh37
HG02221,1000G,,GRCh37
HG02223,1000G,,GRCh37
HG02224,1000G,,GRCh37
HG02230,1000G,,GRCh37
HG02231,1000G,,GRCh37
HG02232,1000G,,GRCh37
HG02233,1000G,,GRCh37
HG02235,1000G,,GRCh37
HG02236,1000G,,GRCh37
HG02238,1000G,,GRCh37
HG02239,1000G,,GRCh37
HG02250,1000G,,GRCh37
HG02252,1000G,,GRCh37
HG02253,1000G,,GRCh37
HG02255,1000G,,GRCh37
HG02256,1000G,,GRCh37
HG02259,1000G,,GRCh37
HG02260,1000G,,GRCh37
HG02262,1000G,,GRCh37
HG02265,1000G,,GRCh37
HG02266,1000G,,GRCh37
HG02271,1000G,,GRCh37
HG02272,1000G,,GRCh37
HG02274,1000G,,GRCh37
HG02275,1000G,,GRCh37
HG02277,1000G,,GRCh37
HG02278,1000G,,GRCh37
HG02281,1000G,,GRCh37
HG02282,1000G,,GRCh37
